feature,importance
sales_lag_7,33.73259641255704
sales_lag_14,24.425896762104884
sales_lag_21,8.583747182675811
month,7.478530409188232
onpromotion,3.904883466000999
is_month_start,3.188558116829933
day_of_week,2.989419262414715
is_national_holiday,2.936538314538527
family,2.7618331230643562
store_type,2.312833707730226
onpromotion_lag_7,1.4019670655419787
state,1.3801507873423058
onpromotion_lag_14,1.2244230263211981
is_weekend,1.0750584551006355
cluster,0.9240597053249243
promo_effect,0.82704676987132
is_month_end,0.47035373417897697
city,0.28608173588666236
is_regional_holiday,0.09602196332729591
