feature,coefficient,abs_coeff
num__MonthlyCharges,0.8689293740996128,0.8689293740996128
ord__Contract,-0.8601708724673148,0.8601708724673148
nom__PhoneService_Yes,-0.8588497871337251,0.8588497871337251
nom__OnlineSecurity_Yes,-0.46629640491335267,0.46629640491335267
num__tenure_contract_risk_normalized,0.44823104675486075,0.44823104675486075
nom__TechSupport_Yes,-0.37385076954587726,0.37385076954587726
nom__PaymentMethod_Electronic check,0.3710209934263208,0.3710209934263208
nom__PaperlessBilling_Yes,0.3189373544962879,0.3189373544962879
num__tenure,-0.2852678765656984,0.2852678765656984
bin__high_charge_new_client,0.2796097881849501,0.2796097881849501
nom__OnlineBackup_Yes,-0.22607094966694435,0.22607094966694435
nom__InternetService_Fiber optic,0.17641591253813796,0.17641591253813796
bin__long_term_monthly,-0.1561544337737477,0.1561544337737477
nom__Dependents_Yes,-0.15190829762552882,0.15190829762552882
bin__SeniorCitizen,0.14591592226752295,0.14591592226752295
nom__DeviceProtection_Yes,-0.08231396318981352,0.08231396318981352
nom__PaymentMethod_Mailed check,-0.03614650451928768,0.03614650451928768
num__TotalCharges,-0.029538715147317582,0.029538715147317582
nom__TechSupport_No internet service,-0.01909668048230874,0.01909668048230874
nom__StreamingTV_No internet service,-0.01909668048230874,0.01909668048230874
nom__InternetService_No,-0.01909668048230874,0.01909668048230874
nom__DeviceProtection_No internet service,-0.01909668048230874,0.01909668048230874
nom__OnlineSecurity_No internet service,-0.01909668048230874,0.01909668048230874
nom__OnlineBackup_No internet service,-0.01909668048230874,0.01909668048230874
nom__StreamingMovies_No internet service,-0.01909668048230874,0.01909668048230874
nom__StreamingMovies_Yes,0.018467810718191077,0.018467810718191077
nom__Partner_Yes,0.008062247736663516,0.008062247736663516
bin__new_monthly_contract,0.0,0.0
num__contract_investment_normalized,0.0,0.0
bin__contract_with_security,0.0,0.0
nom__StreamingTV_Yes,0.0,0.0
nom__PaymentMethod_Credit card (automatic),0.0,0.0
